Location,Echogram,Totping,Start,Stop,Totsek
A7a,T120306,69740,120306,13.06.08,3782
A7a,T145913,210768,145913,18.27.13,12480
A7a,T182712,966,182712,18.28.09,57
A7a,T182823,150112,182823,20.21.42,6799
A7a,T194423,54112,194423,20.28.52,2669
A7b,T182141,39975,182141,19.06.51,2710
A7c,T160941,30120,160941,16.47.59,2298
A8,T145403,64764,145403,15.56.13,3730
A9,T110117,119200,110117,13.00.13,7136
A9,T125142,83810,125142,14.22.49,5467
A9,T142102,30084,142102,14.55.43,2081
A9,T183923,65879,183923,19.57.46,4703
N3,T103951,105267,103951,12.51.19,7888
N3,T122321,205159,122321,17.28.50,18329
N3,T170753,28,170753,17.07.57,4
N3,T172905,70368,172905,19.28.14,7149
N3,T175904,22,175904,17.59.07,3
N3,T175908,6,175908,17.59.09,1
N3,T192911,200,192911,19.29.31,20
N4,T115230,180780,115230,16.59.11,18401
N4,T121140,174038,121140,17.07.41,17761
N4,T140727,23295,140727,14.46.59,2372
N4,T144732,265,144732,14.48.00,28
N4,T150130,158579,150130,19.29.12,16062
N4,T165911,9644,165911,17.15.29,978
N4,T170753,28,170753,17.07.57,4
N4,T171557,14062,171557,17.39.43,1426
N4,T175858,36064,175858,19.00.14,3676
N4,T180427,18563,180427,18.36.05,1898
N4,T183650,107742,183650,21.39.12,10942
N4,T192911,200,192911,19.29.31,20
N4,T192954,20499,192954,20.04.14,2060
N5,T122607,208096,122607,16.09.30,13403
N5,T132845,180797,132845,18.28.53,18008
N5,T134302,118162,134302,17.03.06,12004
N5,T170317,106366,170317,20.02.19,10742
N5,T180850,116723,180850,19.37.01,5291
N5,T182853,5156,182853,18.37.37,524
N5,T184523,18323,184523,19.16.42,1879
N6,T142018,201863,142018,19.21.39,18081
N6,T221812,21622,221812,22.44.20,1568
N6,T224450,78430,224450,24.38.36,6826
N7,T182945,26968,182945,19.51.11,4886
S1,T145617,50961,145617,16.23.45,5248
S1,T165826,90361,165826,19.24.23,8757
S2,T112733,4640,112733,12.35.13,4060
S2,T120507,58762,120507,13.46.08,6061
S2,T123857,84835,123857,15.02.28,8611
S2,T125453,42142,125453,14.01.58,4025
S2,T143735,18290,143735,15.14.54,2239
S2,T145912,84958,145912,17.08.00,7728
S2,T152225,179290,152225,19.44.21,15716
S2,T171205,221,171205,17.12.28,23
S2,T171242,33166,171242,18.07.05,3263
S2,T193321,1240,193321,19.40.21,420
S2,T194250,108541,194250,21.15.01,5531
S2,T194618,47618,194618,21.06.04,4786
T10,T113331,55540,113331,12.55.56,4945
T10,T171152,132813,171152,20.00.42,10130
T10,T160147,60193,160147,17.00.59,3552
T11,T111512,48445,111512,12.00.43,2731
T11,T125816,50880,125816,13.26.33,1697
T11,T150234,90852,150234,16.55.14,6760
T11,T175719,57615,175719,18.41.25,2646
T11,T175906,6622,175906,18.05.27,381
T11,T180717,100820,180717,19.24.45,4648
